CATEGORY,START,STOP,MILES,PURPOSE,DRIVER_RATING,FARE_AMOUNT,PASSENGER_COUNT,PAYMENT_METHOD,CAR_TYPE,TRIP_TYPE,TRIP_DATE,YEAR,MONTH_NAME,DAY_OF_WEEK_NAME,DAY_OF_MONTH
Business,New Kristenstad,New Kristenstad,23.56,Customer Visit,3.8,31.93,2,Uber Credit,Economy,Round-Trip,2020-05-12,2020,May,Tuesday,12
Personal,Mirandaland,Emilyport,17.14,Meal/Entertain,4.2,55.36,2,Card,Economy,One-Way,2025-01-02,2025,January,Thursday,2
Business,Henryburgh,Henryburgh,2.54,Errand/Supplies,4.7,4.55,4,Card,SUV,Round-Trip,2021-06-27,2021,June,Sunday,27
Personal,Jasminechester,Johnborough,16.73,Commute,3.7,27.85,2,Uber Credit,SUV,One-Way,2020-02-15,2020,February,Saturday,15
Personal,Joshuaton,Wheelerberg,18.85,Meeting,4.7,15.07,1,Cash,Economy,One-Way,2021-06-08,2021,June,Tuesday,8
Business,Laurieborough,Laurieborough,6.16,Meal/Entertain,4.5,31.39,2,Uber Credit,SUV,Round-Trip,2024-05-23,2024,May,Thursday,23
Business,Youngberg,Youngberg,16.54,Customer Visit,4.8,25.29,4,Card,SUV,Round-Trip,2022-08-14,2022,August,Sunday,14
Personal,West Tiffany,West Tiffany,15.58,Meeting,4.6,15.38,4,Uber Credit,Economy,Round-Trip,2020-10-11,2020,October,Sunday,11
Business,West Zoeborough,West Zoeborough,3.57,Meal/Entertain,5.2,32.32,1,Card,Premium,Round-Trip,2023-06-08,2023,June,Thursday,8
Business,Lake Stevenfurt,Lake Shane,18.58,Commute,4.6,52.07,3,Uber Credit,Premium,One-Way,2021-05-28,2021,May,Friday,28
Business,Jeffview,Jeffview,20.61,,4.3,22.14,2,Cash,SUV,Round-Trip,2023-04-06,2023,April,Thursday,6
Business,Deborahville,Deborahville,25.83,Commute,4.6,35.8,4,Card,Economy,Round-Trip,2020-04-26,2020,April,Sunday,26
Business,Sonyaside,Sonyaside,25.54,Meal/Entertain,4.8,5.6,2,Card,SUV,Round-Trip,2022-03-06,2022,March,Sunday,6
Business,North Cynthia,North Cynthia,1.22,Meeting,4.5,10.65,2,Cash,SUV,Round-Trip,2025-02-07,2025,February,Friday,7
Personal,East Anthonyland,East Anthonyland,5.62,Errand/Supplies,4.5,32.09,3,Uber Credit,Economy,Round-Trip,2021-06-05,2021,June,Saturday,5
Personal,Teresaville,East Hannah,20.15,Customer Visit,4.1,47.26,4,Cash,Premium,One-Way,2022-06-04,2022,June,Saturday,4
Personal,Marshalltown,Marshalltown,20.14,Commute,4.2,30.33,2,Uber Credit,SUV,Round-Trip,2023-08-24,2023,August,Thursday,24
Business,East Hailey,East Hailey,20.15,Meeting,3.8,20.3,4,Cash,SUV,Round-Trip,2020-12-15,2020,December,Tuesday,15
Personal,South Kelly,South Kelly,53.53,,5.4,24.99,1,Cash,Premium,Round-Trip,2025-02-02,2025,February,Sunday,2
Business,Hawkinsland,Hawkinsland,20.71,Errand/Supplies,3.9,6.24,1,Card,Economy,Round-Trip,2024-08-07,2024,August,Wednesday,7
Business,New Anthonyfurt,New Anthonyfurt,26.36,Meal/Entertain,4.2,34.07,2,Card,Economy,Round-Trip,2023-03-03,2023,March,Friday,3
Personal,Elizabethland,,24.54,Errand/Supplies,4.1,38.23,4,Uber Credit,Economy,Unknown,2025-01-13,2025,January,Monday,13
Business,New Brandy,New Brandy,21.51,Errand/Supplies,4.9,18.22,2,Cash,Economy,Round-Trip,2020-07-21,2020,July,Tuesday,21
Personal,Waltersport,Waltersport,11.85,Meal/Entertain,4.4,17.95,4,Uber Credit,Economy,Round-Trip,2023-09-25,2023,September,Monday,25
Personal,East Erica,North Amberborough,22.59,Meal/Entertain,5.1,28.99,4,Cash,SUV,One-Way,2020-05-08,2020,May,Friday,8
Personal,Port Josephland,West Kevinside,7.27,Meal/Entertain,4.2,18.45,3,Cash,SUV,One-Way,2024-10-18,2024,October,Friday,18
Personal,Port Garyfort,Lake Christophertown,12.63,Meeting,4.6,24.01,3,Card,Premium,One-Way,2024-12-14,2024,December,Saturday,14
Personal,Lake Caitlin,Port Karenfort,10.15,Meeting,4.1,56.5,3,Cash,Premium,One-Way,2022-02-17,2022,February,Thursday,17
Personal,Andersonport,Andersonport,15.82,Customer Visit,5.6,21.29,2,Card,Premium,Round-Trip,2021-12-06,2021,December,Monday,6
Business,Port Elizabethmouth,Port Elizabethmouth,38.15,Customer Visit,3.9,19.62,3,Card,Premium,Round-Trip,2020-05-30,2020,May,Saturday,30
Business,Amychester,Amychester,-3.67,Errand/Supplies,4.7,15.29,3,Cash,Economy,Round-Trip,2022-02-20,2022,February,Sunday,20
Personal,Flynnstad,Flynnstad,21.86,Errand/Supplies,,36.16,1,Cash,Economy,Round-Trip,2022-02-09,2022,February,Wednesday,9
Business,New Gerald,New Gerald,-1.13,Customer Visit,4.7,22.28,4,Uber Credit,Premium,Round-Trip,2022-03-07,2022,March,Monday,7
Business,East Carlos,East Carlos,10.28,Commute,4.4,15.26,4,Uber Credit,SUV,Round-Trip,2021-11-02,2021,November,Tuesday,2
Business,Mccallhaven,Mccallhaven,25.89,Errand/Supplies,4.4,44.82,3,Uber Credit,Economy,Round-Trip,2023-12-18,2023,December,Monday,18
Personal,Hoffmanview,Hoffmanview,15.64,Commute,4.5,46.29,4,Card,Economy,Round-Trip,2023-10-31,2023,October,Tuesday,31
Business,Andersonmouth,Andersonmouth,4.22,Commute,4.4,15.99,1,Card,SUV,Round-Trip,2021-08-20,2021,August,Friday,20
Business,South David,South David,7.85,Meal/Entertain,5.0,3.0,1,Card,SUV,Round-Trip,2024-11-03,2024,November,Sunday,3
Personal,Rebeccatown,Rebeccatown,21.8,Meeting,5.6,40.11,3,Card,SUV,Round-Trip,2020-04-13,2020,April,Monday,13
Business,North Annaborough,North Annaborough,7.7,Customer Visit,4.2,14.73,1,Card,SUV,Round-Trip,2020-07-01,2020,July,Wednesday,1
Business,West Sheenaton,West Sheenaton,17.16,Meeting,3.8,36.86,4,Card,SUV,Round-Trip,2024-07-06,2024,July,Saturday,6
Business,North Davidfurt,South Louishaven,15.46,Customer Visit,4.5,4.55,2,Cash,Premium,One-Way,2021-12-26,2021,December,Sunday,26
Business,Zacharymouth,Novakland,8.48,Meeting,5.8,38.39,4,Uber Credit,SUV,One-Way,2024-09-01,2024,September,Sunday,1
Business,Jacquelineland,Jacquelineland,36.44,,4.1,6.83,2,Uber Credit,Economy,Round-Trip,2022-01-18,2022,January,Tuesday,18
Business,Joannahaven,Joannahaven,21.34,Meeting,5.3,35.96,3,Uber Credit,SUV,Round-Trip,2023-06-02,2023,June,Friday,2
Business,West Bradley,Williamfort,-5.25,Meal/Entertain,5.3,25.21,2,Cash,Premium,One-Way,2024-01-13,2024,January,Saturday,13
Personal,Williamsstad,Codyburgh,16.86,Commute,4.2,10.69,1,Uber Credit,Economy,One-Way,2021-10-21,2021,October,Thursday,21
Business,Lewisberg,Lewisberg,8.38,Customer Visit,4.8,18.89,4,Card,SUV,Round-Trip,2021-07-12,2021,July,Monday,12
Business,Lake Tammy,Lake Tammy,23.52,Commute,,35.29,2,Cash,SUV,Round-Trip,2021-01-20,2021,January,Wednesday,20
Business,New Amberport,New Amberport,7.07,Customer Visit,4.3,26.59,4,Cash,SUV,Round-Trip,2022-01-16,2022,January,Sunday,16
Business,East Jennifermouth,East Jennifermouth,13.85,,4.4,33.77,3,Uber Credit,Economy,Round-Trip,2024-11-24,2024,November,Sunday,24
Personal,East Kevinside,East Kevinside,20.05,Meal/Entertain,,54.65,3,Card,SUV,Round-Trip,2025-02-08,2025,February,Saturday,8
Personal,East Kathy,East Kathy,23.66,,4.0,1.54,1,Uber Credit,Premium,Round-Trip,2020-12-25,2020,December,Friday,25
Personal,Port Charles,Port Charles,3.0,Customer Visit,4.2,49.26,3,Cash,Premium,Round-Trip,2022-02-19,2022,February,Saturday,19
Business,Brocktown,Jenniferberg,11.65,Meeting,3.9,26.57,2,Uber Credit,SUV,One-Way,2020-08-16,2020,August,Sunday,16
Personal,Port Annetown,Port Annetown,10.25,Meal/Entertain,4.5,11.52,3,Cash,Economy,Round-Trip,2020-06-13,2020,June,Saturday,13
Business,Rosston,Rosston,8.47,Errand/Supplies,4.1,5.05,1,Cash,Economy,Round-Trip,2020-11-12,2020,November,Thursday,12
Personal,South Nicole,,32.65,Commute,4.6,22.16,4,Cash,Premium,Unknown,2022-12-28,2022,December,Wednesday,28
Personal,Kellyhaven,Kellyhaven,19.05,Customer Visit,3.7,38.82,4,Card,Premium,Round-Trip,2021-12-13,2021,December,Monday,13
Business,West Zoeborough,West Zoeborough,2.39,Meal/Entertain,4.7,23.09,3,Card,Economy,Round-Trip,2021-03-03,2021,March,Wednesday,3
Personal,Lake Zacharyshire,South Brandon,24.18,Meeting,4.9,47.67,2,Uber Credit,Economy,One-Way,2022-07-17,2022,July,Sunday,17
Personal,North Christophershire,Brownfort,36.22,Customer Visit,3.5,3.23,1,Uber Credit,Premium,One-Way,2023-10-27,2023,October,Friday,27
Personal,North Bryanbury,Stacyshire,25.32,Meeting,4.7,248.2,2,Uber Credit,SUV,One-Way,2021-05-16,2021,May,Sunday,16
Business,North Bethanyville,North Bethanyville,-0.19,Errand/Supplies,5.1,6.21,1,Card,SUV,Round-Trip,2024-04-23,2024,April,Tuesday,23
Business,Lewisberg,New Alexander,10.16,Customer Visit,3.9,30.45,3,Uber Credit,Economy,One-Way,2023-01-04,2023,January,Wednesday,4
Personal,Phylliston,Phylliston,27.67,Commute,5.3,38.3,1,Card,SUV,Round-Trip,2025-02-15,2025,February,Saturday,15
Business,Casehaven,Nealview,7.92,Customer Visit,4.7,18.69,1,Cash,Economy,One-Way,2024-06-09,2024,June,Sunday,9
Business,South Emilyview,Lake Katherineside,19.44,Commute,4.1,14.06,3,Cash,Premium,One-Way,2020-04-21,2020,April,Tuesday,21
Business,Mooreshire,Mooreshire,22.75,Meeting,4.5,27.98,2,Card,Premium,Round-Trip,2021-11-22,2021,November,Monday,22
Personal,New Juanstad,Joycefort,5.73,Customer Visit,,31.55,3,Card,Economy,One-Way,2024-04-01,2024,April,Monday,1
Business,West Glenstad,North Annhaven,14.4,Meal/Entertain,4.5,31.06,1,Cash,Premium,One-Way,2020-10-22,2020,October,Thursday,22
Personal,New Austinmouth,Mathismouth,-17.41,Meal/Entertain,4.8,43.54,3,Card,SUV,One-Way,2021-01-30,2021,January,Saturday,30
Business,Anthonyberg,Anthonyberg,4.76,Errand/Supplies,4.0,8.93,1,Cash,Premium,Round-Trip,2024-04-08,2024,April,Monday,8
Business,Porterfurt,Porterfurt,12.47,Meal/Entertain,4.6,35.2,3,Uber Credit,Premium,Round-Trip,2020-04-14,2020,April,Tuesday,14
Personal,Vegaburgh,Lake Tammy,2.52,Errand/Supplies,3.8,42.89,4,Cash,SUV,One-Way,2024-06-20,2024,June,Thursday,20
Personal,New Eric,New Eric,31.32,Meeting,4.4,1.68,4,Cash,SUV,Round-Trip,2024-08-08,2024,August,Thursday,8
Business,Port Alanborough,,0.7,Commute,4.0,29.79,3,Uber Credit,Economy,Unknown,2022-08-21,2022,August,Sunday,21
Personal,Lake William,Lake William,10.6,Meeting,4.1,17.44,2,Card,Premium,Round-Trip,2022-10-14,2022,October,Friday,14
Personal,New Austinport,New Austinport,16.31,Commute,5.1,23.78,1,Uber Credit,Economy,Round-Trip,2020-01-01,2020,January,Wednesday,1
Business,Casehaven,Casehaven,29.41,Commute,5.0,30.22,4,Cash,Economy,Round-Trip,2023-10-27,2023,October,Friday,27
Personal,Port Amyfort,Port Amyfort,6.4,Errand/Supplies,4.8,17.69,2,Cash,SUV,Round-Trip,2020-07-26,2020,July,Sunday,26
Business,Lake Christopherfurt,Lake Christopherfurt,26.63,Meal/Entertain,4.0,14.86,1,Cash,Economy,Round-Trip,2022-10-07,2022,October,Friday,7
Business,East Beth,East Beth,15.1,Meal/Entertain,,25.51,4,Cash,Economy,Round-Trip,2023-12-02,2023,December,Saturday,2
Personal,Port Jamesville,Port Jamesville,5.18,Errand/Supplies,5.1,8.69,4,Cash,Premium,Round-Trip,2024-10-30,2024,October,Wednesday,30
Business,Lake Kimberlyview,Lake Kimberlyview,19.62,Errand/Supplies,4.6,8.71,3,Uber Credit,Economy,Round-Trip,2023-09-09,2023,September,Saturday,9
Business,Carterport,Carterport,16.99,Meeting,5.7,35.19,1,Cash,Economy,Round-Trip,2023-04-23,2023,April,Sunday,23
Business,Taraland,Taraland,9.0,Errand/Supplies,4.7,7.77,2,Card,Economy,Round-Trip,2020-11-03,2020,November,Tuesday,3
Personal,Ginaside,Ginaside,15.7,Meal/Entertain,4.6,34.99,2,Uber Credit,Premium,Round-Trip,2025-02-02,2025,February,Sunday,2
Personal,Cartermouth,Cartermouth,11.15,,4.3,31.94,2,Uber Credit,SUV,Round-Trip,2024-07-08,2024,July,Monday,8
Business,Port Erikmouth,Port Erikmouth,16.14,Errand/Supplies,4.6,0.89,1,Uber Credit,Premium,Round-Trip,2022-12-08,2022,December,Thursday,8
Personal,Alvinview,Alvinview,21.62,,4.4,14.84,2,Cash,SUV,Round-Trip,2021-04-12,2021,April,Monday,12
Business,Nathanfort,New Adam,30.86,Errand/Supplies,4.9,42.91,2,Cash,SUV,One-Way,2022-04-09,2022,April,Saturday,9
Personal,Ryanmouth,Ryanmouth,2.62,Meeting,5.0,10.28,2,Uber Credit,SUV,Round-Trip,2020-06-25,2020,June,Thursday,25
Personal,Melissafurt,Melissafurt,36.33,Errand/Supplies,4.1,18.03,3,Cash,Premium,Round-Trip,2022-03-09,2022,March,Wednesday,9
Personal,Meganstad,Meganstad,-4.52,Customer Visit,3.8,31.93,3,Card,Premium,Round-Trip,2022-03-14,2022,March,Monday,14
Business,Collinsbury,Collinsbury,13.48,Customer Visit,3.6,36.75,1,Card,SUV,Round-Trip,2020-04-09,2020,April,Thursday,9
Business,Port Richard,Stefanieberg,20.88,Commute,4.8,21.23,1,Cash,Premium,One-Way,2020-01-26,2020,January,Sunday,26
Personal,Joshuaville,Joshuaville,17.81,Commute,3.9,16.04,2,Uber Credit,Economy,Round-Trip,2024-11-07,2024,November,Thursday,7
Personal,South Jaredstad,,8.77,Customer Visit,3.4,46.34,3,Cash,SUV,Unknown,2021-05-07,2021,May,Friday,7
Business,New Brandy,New Brandy,12.92,Commute,4.7,51.08,4,Cash,SUV,Round-Trip,2021-09-01,2021,September,Wednesday,1
Business,Patricktown,Patricktown,10.07,Commute,5.7,39.68,4,Cash,SUV,Round-Trip,2023-05-23,2023,May,Tuesday,23
Personal,Tannerport,Lake Brittany,9.11,,4.5,26.28,2,Uber Credit,SUV,One-Way,2022-10-24,2022,October,Monday,24
Business,Lake Nicholasborough,Lake Nicholasborough,23.5,Meal/Entertain,4.9,12.88,2,Card,Economy,Round-Trip,2024-06-21,2024,June,Friday,21
Personal,North Paulachester,North Paulachester,18.57,Errand/Supplies,4.5,12.54,3,Cash,Premium,Round-Trip,2024-03-19,2024,March,Tuesday,19
Business,East Johnfort,East Johnfort,8.07,Customer Visit,4.5,32.84,3,Uber Credit,Economy,Round-Trip,2023-07-01,2023,July,Saturday,1
Personal,Nathanielhaven,Nathanielhaven,24.0,Meeting,5.0,31.28,3,Uber Credit,Premium,Round-Trip,2022-12-01,2022,December,Thursday,1
Personal,Fisherton,Fisherton,18.07,Customer Visit,4.4,46.02,1,Card,Economy,Round-Trip,2021-08-15,2021,August,Sunday,15
Business,Lake Katherineside,Lake Katherineside,23.13,Customer Visit,4.6,34.76,1,Uber Credit,SUV,Round-Trip,2020-10-04,2020,October,Sunday,4
Business,Beanview,Beanview,21.3,Meal/Entertain,4.7,2.45,2,Uber Credit,Economy,Round-Trip,2025-02-19,2025,February,Wednesday,19
Business,Grayton,Grayton,6.71,Meal/Entertain,4.2,40.78,1,Uber Credit,Economy,Round-Trip,2022-06-25,2022,June,Saturday,25
Business,West Cynthiachester,West Cynthiachester,9.4,Commute,,10.03,3,Card,SUV,Round-Trip,2020-11-05,2020,November,Thursday,5
Business,New Jenniferside,New Jenniferside,22.47,Meeting,,19.24,3,Cash,Premium,Round-Trip,2022-04-20,2022,April,Wednesday,20
Personal,Amandaville,New Charlesstad,21.1,Meal/Entertain,4.1,28.75,1,Card,Premium,One-Way,2024-08-12,2024,August,Monday,12
Business,West Briannabury,West Briannabury,14.79,Commute,4.8,54.94,4,Cash,SUV,Round-Trip,2021-07-19,2021,July,Monday,19
Personal,Amymouth,Amymouth,16.17,Meeting,4.1,71.65,2,Uber Credit,SUV,Round-Trip,2022-03-22,2022,March,Tuesday,22
Business,Port Adamtown,West Williamfurt,27.78,Meal/Entertain,4.5,34.1,4,Uber Credit,SUV,One-Way,2023-04-13,2023,April,Thursday,13
Business,Kellyport,Kellyport,9.08,Customer Visit,4.5,22.25,2,Cash,SUV,Round-Trip,2023-04-23,2023,April,Sunday,23
Personal,West Glenstad,West Glenstad,20.47,Customer Visit,5.0,33.02,4,Card,SUV,Round-Trip,2023-01-19,2023,January,Thursday,19
Personal,Lake Michael,Christopherberg,12.98,Meeting,4.7,38.31,1,Card,Economy,One-Way,2022-11-12,2022,November,Saturday,12
Business,West Kimberly,Collinsbury,12.82,Meeting,4.5,20.19,2,Card,Premium,One-Way,2023-01-15,2023,January,Sunday,15
Personal,Josephton,Josephton,25.99,Meal/Entertain,4.9,51.93,2,Cash,SUV,Round-Trip,2022-08-01,2022,August,Monday,1
Business,Walkertown,Walkertown,23.25,Meal/Entertain,,28.45,2,Uber Credit,Premium,Round-Trip,2021-07-07,2021,July,Wednesday,7
Business,East Kevinside,East Kevinside,23.14,Meeting,4.8,32.47,3,Uber Credit,SUV,Round-Trip,2020-11-02,2020,November,Monday,2
Business,South Craig,South Craig,28.05,Meeting,4.5,34.99,3,Uber Credit,Economy,Round-Trip,2023-05-07,2023,May,Sunday,7
Personal,Robertshire,Robertshire,15.21,Commute,3.8,31.32,4,Cash,Economy,Round-Trip,2020-12-23,2020,December,Wednesday,23
Personal,Lake Brianfurt,Lake Brianfurt,21.82,Commute,,37.58,1,Uber Credit,Economy,Round-Trip,2023-05-15,2023,May,Monday,15
Business,Joannahaven,,11.9,Commute,4.3,15.74,3,Uber Credit,Economy,Unknown,2020-09-03,2020,September,Thursday,3
Business,Russellmouth,Russellmouth,18.24,Customer Visit,4.2,166.29999999999998,2,Card,Premium,Round-Trip,2020-04-05,2020,April,Sunday,5
Business,Graychester,Graychester,13.7,Customer Visit,4.4,8.5,3,Uber Credit,Economy,Round-Trip,2024-05-02,2024,May,Thursday,2
Business,Makaylaburgh,Kelliland,15.97,Commute,4.5,31.59,1,Card,Premium,One-Way,2025-03-02,2025,March,Sunday,2
Personal,New Hollyton,Lindaland,20.95,Commute,4.8,36.68,3,Cash,SUV,One-Way,2024-09-13,2024,September,Friday,13
Business,Port Christopherbury,Port Christopherbury,6.82,Meeting,4.5,31.87,2,Card,SUV,Round-Trip,2021-06-10,2021,June,Thursday,10
Business,Haasborough,Haasborough,35.92,Customer Visit,4.7,50.12,4,Uber Credit,Economy,Round-Trip,2023-12-13,2023,December,Wednesday,13
Personal,Lake Nicoleport,Lake Nicoleport,4.94,Commute,4.5,24.92,2,Uber Credit,Premium,Round-Trip,2020-08-14,2020,August,Friday,14
Personal,East Brendaside,Dillonborough,2.86,Errand/Supplies,3.5,35.03,1,Card,SUV,One-Way,2020-12-25,2020,December,Friday,25
Business,Moniquechester,Moniquechester,26.58,Meal/Entertain,4.0,8.62,4,Uber Credit,SUV,Round-Trip,2020-08-30,2020,August,Sunday,30
Personal,Casehaven,Casehaven,22.92,Commute,4.4,19.19,3,Card,SUV,Round-Trip,2021-10-14,2021,October,Thursday,14
Business,North Christina,North Christina,21.24,Customer Visit,3.9,35.43,3,Uber Credit,SUV,Round-Trip,2022-11-08,2022,November,Tuesday,8
Business,West Zoeborough,North Tiffanyberg,21.28,Commute,4.8,37.74,3,Card,Economy,One-Way,2022-10-04,2022,October,Tuesday,4
Personal,Johnathanfort,Johnathanfort,14.88,Errand/Supplies,5.3,20.59,4,Card,Economy,Round-Trip,2021-05-19,2021,May,Wednesday,19
Business,West Joycechester,West Joycechester,6.03,Meeting,5.1,23.93,2,Cash,Economy,Round-Trip,2024-11-04,2024,November,Monday,4
Personal,New Carlaberg,New Carlaberg,15.76,Customer Visit,4.4,2.23,4,Card,SUV,Round-Trip,2021-08-25,2021,August,Wednesday,25
Business,North Davidton,North Davidton,8.23,Meeting,5.2,19.64,4,Card,Economy,Round-Trip,2020-08-13,2020,August,Thursday,13
Business,Michaelfort,Michaelfort,24.75,Meal/Entertain,4.6,38.36,1,Cash,SUV,Round-Trip,2024-05-14,2024,May,Tuesday,14
Personal,North Kellymouth,North Kellymouth,13.53,Meeting,4.3,33.63,4,Uber Credit,Economy,Round-Trip,2022-10-05,2022,October,Wednesday,5
Personal,New Anthony,New Anthony,6.75,Commute,4.2,32.51,3,Card,Economy,Round-Trip,2022-04-25,2022,April,Monday,25
Personal,Lindsayville,Lindsayville,11.79,Errand/Supplies,4.3,25.75,2,Cash,Premium,Round-Trip,2021-10-02,2021,October,Saturday,2
Business,Lake Jeremyland,,19.13,Meeting,4.3,25.11,2,Cash,Premium,Unknown,2024-07-16,2024,July,Tuesday,16
Business,Port Kimberly,West Traci,9.36,Errand/Supplies,4.6,15.1,2,Card,SUV,One-Way,2020-04-02,2020,April,Thursday,2
Business,North Elizabethmouth,North Elizabethmouth,6.78,,,35.48,3,Uber Credit,SUV,Round-Trip,2020-09-20,2020,September,Sunday,20
Business,Lake Frankshire,Johnborough,17.44,Customer Visit,4.5,31.31,3,Cash,SUV,One-Way,2020-04-23,2020,April,Thursday,23
Personal,South Vickie,South Vickie,17.45,Commute,4.7,323.8,3,Card,Premium,Round-Trip,2020-12-12,2020,December,Saturday,12
Personal,West Elizabeth,Lowemouth,9.93,Commute,5.1,17.11,3,Cash,Economy,One-Way,2023-01-19,2023,January,Thursday,19
Personal,Port Anthonybury,Lake Sherry,10.29,Commute,,7.3,3,Uber Credit,Premium,One-Way,2022-01-22,2022,January,Saturday,22
Business,Laurieborough,Port Stephanie,17.32,,,41.46,4,Card,Economy,One-Way,2023-05-13,2023,May,Saturday,13
Personal,Port Alyssa,Port Alyssa,0.52,Meal/Entertain,3.2,17.82,3,Card,SUV,Round-Trip,2020-11-18,2020,November,Wednesday,18
Personal,West Scottfort,West Scottfort,0.93,Meal/Entertain,5.0,12.06,3,Uber Credit,Premium,Round-Trip,2020-05-15,2020,May,Friday,15
Personal,Steveview,Steveview,7.82,Meal/Entertain,3.8,35.4,3,Uber Credit,SUV,Round-Trip,2020-03-13,2020,March,Friday,13
Personal,Flynnstad,,12.87,Customer Visit,4.4,19.12,3,Cash,Economy,Unknown,2024-01-05,2024,January,Friday,5
Business,East Jasonfort,East Jasonfort,18.11,Customer Visit,3.9,40.9,2,Card,Economy,Round-Trip,2025-03-06,2025,March,Thursday,6
Business,Franciscomouth,Marcburgh,29.75,Meal/Entertain,3.6,342.6,3,Cash,Premium,One-Way,2024-09-18,2024,September,Wednesday,18
Personal,Clarkbury,Clarkbury,23.58,Commute,4.8,35.25,4,Card,Premium,Round-Trip,2021-01-07,2021,January,Thursday,7
Business,East Miaberg,East Miaberg,13.4,Meeting,4.9,4.51,4,Cash,Premium,Round-Trip,2023-11-07,2023,November,Tuesday,7
Personal,Lake Richardhaven,Lake Richardhaven,14.81,Meal/Entertain,4.2,43.18,4,Card,SUV,Round-Trip,2021-10-06,2021,October,Wednesday,6
Business,Suzannebury,Suzannebury,4.97,Meeting,3.2,28.92,1,Uber Credit,Economy,Round-Trip,2024-01-11,2024,January,Thursday,11
Business,Jamesberg,Jamesberg,14.81,Meal/Entertain,4.2,19.46,2,Cash,Premium,Round-Trip,2020-11-12,2020,November,Thursday,12
Personal,North Lori,New Carolville,12.11,Meeting,4.7,27.15,3,Card,SUV,One-Way,2021-02-07,2021,February,Sunday,7
Personal,Jacquelineport,Jacquelineport,18.23,Commute,3.8,1.64,1,Card,SUV,Round-Trip,2020-02-21,2020,February,Friday,21
Personal,Michelleville,Michelleville,6.73,Customer Visit,4.6,31.13,3,Cash,SUV,Round-Trip,2024-07-31,2024,July,Wednesday,31
Personal,South Richardfurt,South Richardfurt,201.9,Meal/Entertain,4.5,9.56,1,Uber Credit,Economy,Round-Trip,2024-08-01,2024,August,Thursday,1
Business,Warrenmouth,Warrenmouth,30.33,Meal/Entertain,4.8,47.1,1,Uber Credit,Premium,Round-Trip,2023-03-21,2023,March,Tuesday,21
Personal,Saunderston,Saunderston,13.91,Commute,4.6,2.16,4,Cash,Premium,Round-Trip,2024-07-01,2024,July,Monday,1
Business,Port Christopher,South Rachel,19.02,Errand/Supplies,4.0,41.69,4,Cash,SUV,One-Way,2024-02-07,2024,February,Wednesday,7
Personal,Jamesside,Jamesside,21.9,Meal/Entertain,5.1,15.56,1,Card,Premium,Round-Trip,2021-07-01,2021,July,Thursday,1
Business,Adamfurt,Adamfurt,10.99,Meeting,4.4,48.01,4,Card,Economy,Round-Trip,2023-05-08,2023,May,Monday,8
Personal,Adamton,Adamton,17.24,Commute,4.5,16.96,1,Uber Credit,Premium,Round-Trip,2021-01-14,2021,January,Thursday,14
Business,Melissamouth,Melissamouth,15.13,Errand/Supplies,4.0,0.61,2,Uber Credit,SUV,Round-Trip,2024-08-28,2024,August,Wednesday,28
Business,Pricechester,Pricechester,15.98,Meal/Entertain,4.3,8.25,4,Uber Credit,Economy,Round-Trip,2021-11-10,2021,November,Wednesday,10
Personal,Danielhaven,Lake Anthonymouth,7.27,Meal/Entertain,4.1,43.54,4,Cash,Premium,One-Way,2022-06-19,2022,June,Sunday,19
Personal,Evansport,Evansport,15.25,Customer Visit,4.4,22.66,4,Cash,Economy,Round-Trip,2025-02-26,2025,February,Wednesday,26
Business,Kimberlychester,Kimberlychester,19.98,Errand/Supplies,5.4,16.78,2,Cash,Premium,Round-Trip,2023-05-08,2023,May,Monday,8
Personal,New Vanessa,New Vanessa,29.51,Commute,3.8,27.4,1,Uber Credit,Economy,Round-Trip,2023-05-17,2023,May,Wednesday,17
Personal,West Robin,West Robin,24.59,Meeting,3.7,32.53,3,Uber Credit,SUV,Round-Trip,2021-03-12,2021,March,Friday,12
Business,Longport,,36.53,Meal/Entertain,5.2,41.76,4,Uber Credit,SUV,Unknown,2021-12-28,2021,December,Tuesday,28
Personal,West Heatherhaven,West Heatherhaven,7.33,Commute,4.4,46.73,1,Uber Credit,SUV,Round-Trip,2020-03-22,2020,March,Sunday,22
Personal,Ryanhaven,Ryanhaven,23.72,Customer Visit,4.2,19.6,2,Cash,Economy,Round-Trip,2021-02-05,2021,February,Friday,5
Personal,Millerburgh,Amandaville,16.83,Meal/Entertain,5.0,5.11,3,Card,Economy,One-Way,2025-03-21,2025,March,Friday,21
Personal,Port Eric,Youngberg,36.9,Errand/Supplies,4.2,18.8,4,Cash,SUV,One-Way,2025-01-16,2025,January,Thursday,16
Personal,Julieton,Julieton,6.92,Commute,5.4,28.9,2,Card,SUV,Round-Trip,2023-09-03,2023,September,Sunday,3
Personal,North Chelseyview,Port Miguel,6.6,Meeting,4.8,10.54,2,Card,Economy,One-Way,2024-08-13,2024,August,Tuesday,13
Business,Riveraberg,,9.01,Customer Visit,4.3,10.64,3,Cash,Economy,Unknown,2023-03-13,2023,March,Monday,13
Business,Campbellville,Campbellville,-6.24,Commute,5.6,30.16,1,Cash,Economy,Round-Trip,2020-12-08,2020,December,Tuesday,8
Personal,Maryview,Maryview,9.74,Meal/Entertain,4.2,24.27,4,Cash,Economy,Round-Trip,2024-07-29,2024,July,Monday,29
